projectName,state,district,category,sanctionedAmount,estimatedCost,projectId,actualCost,startDate,expectedCompletionDate,actualCompletionDate,projectStatus,contractorId,contractorName,numberOfMilestones,completedMilestones,paymentAmount,numberOfPayments,inspectionStatus,beneficiaryCount,constituency,location,latitude,longitude,description
Development of Public Recreation Park with Open Gymnasium at Civil Lines Ward 18,Uttar Pradesh,Prayagraj,Community Halls & Centers,11300000,11300000,MPLAD-2026-REAL-0062,5650000,2025-03-13,2026-10-13,,IN_PROGRESS,CONT-102,Vanguard Civil Consortium,6,3,5650000,3,PENDING,21340,Allahabad Parliamentary Constituency,Civil Lines Ward 18,25.428329,81.855691,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Construction of Underground Drainage System with Sewage Treatment Septic at Mansarovar Sector 7,Rajasthan,Jaipur,Sanitation & Waste Management,11450000,11450000,MPLAD-2026-REAL-0063,13167500,2025-04-14,2026-11-14,,DELAYED,CONT-103,Bharat Pragati Builders,4,1,10305000,4,FLAGGED,21660,Jaipur Parliamentary Constituency,Mansarovar Sector 7,26.902719,75.780209,High financial anomaly: 90% fund disbursed against only 1 milestone physically completed. Field verification flagged.
Solarization of Primary Health Center and Cold Chain Unit at Ratanada Zone 3,Rajasthan,Jodhpur,Solar Lighting & Green Energy,11600000,11600000,MPLAD-2026-REAL-0064,4640000,2025-05-15,2026-12-15,,IN_PROGRESS,CONT-104,Sunrise Municipal Infraworks,5,2,4640000,2,PENDING,21980,Jodhpur Parliamentary Constituency,Ratanada Zone 3,26.2456,73.014345,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Augmentation of Rural Piped Drinking Water Supply Grid at Hiran Magri Sector 4,Rajasthan,Udaipur,Drinking Water & Tubewells,2000000,2000000,MPLAD-2026-REAL-0065,2860000,2025-06-16,2026-01-16,,DELAYED,CONT-105,Kalyan Rural Engineering Works,6,2,2431000,5,FLAGGED,22300,Udaipur Parliamentary Constituency,Hiran Magri Sector 4,24.595614,73.718798,Critical audit warning: Severe cost overrun of 43% with only 2/6 milestones completed.
Construction of All-Weather Cement Concrete (CC) Road at Vijay Nagar Ward 22,Madhya Pradesh,Indore,Roads & Bridges,2150000,2150000,MPLAD-2026-REAL-0066,2150000,2025-07-17,2026-02-17,2026-02-20,COMPLETED,CONT-106,Maruti Infrastructure Corp,4,4,2150000,4,COMPLIANT,22620,Indore Parliamentary Constituency,Vijay Nagar Ward 22,22.713713,75.868157,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Supply and Installation of Advanced Medical Diagnostic Equipment at MP Nagar Zone 1,Madhya Pradesh,Bhopal,Healthcare & Clinics,2300000,2300000,MPLAD-2026-REAL-0067,920000,2025-08-18,2026-03-18,,IN_PROGRESS,CONT-107,Royal Heritage Constructions,5,2,920000,2,PENDING,22940,Bhopal Parliamentary Constituency,MP Nagar Zone 1,23.249217,77.407134,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Construction of Girls Sanitation Block and Rainwater Harvesting System at Lashkar Central Ward 11,Madhya Pradesh,Gwalior,Education & School Infra,2450000,2450000,MPLAD-2026-REAL-0068,1225000,2025-09-19,2026-04-19,,IN_PROGRESS,CONT-108,Central Highland Developers,6,3,1225000,3,PENDING,23260,Gwalior Parliamentary Constituency,Lashkar Central Ward 11,26.223336,78.171908,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Construction of Dr. B.R. Ambedkar Memorial Cultural Community Hall at Shyambazar Ward 11,West Bengal,Kolkata,Community Halls & Centers,2600000,2600000,MPLAD-2026-REAL-0069,2600000,2025-10-20,2026-05-20,2026-02-23,COMPLETED,CONT-109,Magadh Civil Works Ltd,4,4,2600000,4,COMPLIANT,23580,Kolkata North,Shyambazar Ward 11,22.583684,88.368498,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Development of Eco-Friendly Community Sanitation Block with Greywater Recycling at Barasat Sadar Block,West Bengal,North 24 Parganas,Sanitation & Waste Management,2750000,2750000,MPLAD-2026-REAL-0070,4152500,2025-11-21,2026-06-21,,DELAYED,CONT-110,Coastal Green Infra Services,5,2,3529625,5,FLAGGED,23900,Dum Dum Parliamentary Constituency,Barasat Sadar Block,22.717247,88.495158,Critical audit warning: Severe cost overrun of 51% with only 2/5 milestones completed.
Installation of High-Mast Solar LED Lighting System at Shibpur Central Ward,West Bengal,Howrah,Solar Lighting & Green Energy,2900000,2900000,MPLAD-2026-REAL-0071,1450000,2025-12-22,2026-07-22,,IN_PROGRESS,CONT-111,Brahmaputra Engineering Pvt,6,3,1450000,3,PENDING,24220,Howrah Parliamentary Constituency,Shibpur Central Ward,22.584385,88.259899,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Drilling of Deep Borewell with Overhead Storage Reservoir at Charminar Heritage Ward 4,Telangana,Hyderabad,Drinking Water & Tubewells,3050000,3050000,MPLAD-2026-REAL-0072,3050000,2025-01-23,2026-08-23,2026-02-26,COMPLETED,CONT-112,Kalinga Public Works Enterprise,4,4,3050000,4,COMPLIANT,24540,Hyderabad Parliamentary Constituency,Charminar Heritage Ward 4,17.388244,78.475147,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Construction of High-Level Reinforced Concrete Culvert & Approach Road at Kukatpally Housing Board Phase 2,Telangana,Medchal-Malkajgiri,Roads & Bridges,3200000,3200000,MPLAD-2026-REAL-0073,1280000,2025-02-24,2026-09-24,,IN_PROGRESS,CONT-101,Apex Infrastructure & Tech Ltd,5,2,1280000,2,PENDING,24860,Malkajgiri Parliamentary Constituency,Kukatpally Housing Board Phase 2,17.504973,78.394181,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Establishment of Telemedicine Enabled Primary Health Clinic at Gajuwaka Industrial Zone,Andhra Pradesh,Visakhapatnam,Healthcare & Clinics,3350000,3350000,MPLAD-2026-REAL-0074,1675000,2025-03-25,2026-10-25,,IN_PROGRESS,CONT-102,Vanguard Civil Consortium,6,3,1675000,3,PENDING,25180,Visakhapatnam Parliamentary Constituency,Gajuwaka Industrial Zone,17.684486,83.230275,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Construction of Multipurpose Auditorium and Sports Amenity Center at Governorpet Block 2,Andhra Pradesh,Vijayawada,Education & School Infra,3500000,3500000,MPLAD-2026-REAL-0075,5565000,2025-04-01,2026-11-01,,DELAYED,CONT-103,Bharat Pragati Builders,4,2,4730250,5,FLAGGED,25500,Vijayawada Parliamentary Constituency,Governorpet Block 2,16.494342,80.646156,Critical audit warning: Severe cost overrun of 59% with only 2/4 milestones completed.
Construction of Multipurpose Community Welfare Center and Skill Hub at Kazhakkoottam Ward 1,Kerala,Thiruvananthapuram,Community Halls & Centers,3650000,3650000,MPLAD-2026-REAL-0076,1460000,2025-05-02,2026-12-02,,IN_PROGRESS,CONT-104,Sunrise Municipal Infraworks,5,2,1460000,2,PENDING,25820,Thiruvananthapuram Parliamentary Constituency,Kazhakkoottam Ward 1,8.52547,76.924678,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Establishment of Decentralized Solid Waste Segregation & Composting Unit at Kaloor North Sector,Kerala,Ernakulam,Sanitation & Waste Management,3800000,3800000,MPLAD-2026-REAL-0077,4370000,2025-06-03,2026-01-03,,DELAYED,CONT-105,Kalyan Rural Engineering Works,6,1,3420000,4,FLAGGED,26140,Ernakulam Parliamentary Constituency,Kaloor North Sector,9.993567,76.300794,High financial anomaly: 90% fund disbursed against only 1 milestone physically completed. Field verification flagged.
Installation of Smart Solar Streetlights with Auto-Sensors along Kankarbagh Colony Sector 3,Bihar,Patna,Solar Lighting & Green Energy,3950000,3950000,MPLAD-2026-REAL-0078,3950000,2025-07-04,2026-02-04,2026-02-07,COMPLETED,CONT-106,Maruti Infrastructure Corp,4,4,3950000,4,COMPLIANT,26460,Patna Sahib,Kankarbagh Colony Sector 3,25.593683,85.149593,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Installation of High-Capacity Water ATM and Purification Unit at Bodhgaya Road Ward 5,Bihar,Gaya,Drinking Water & Tubewells,4100000,4100000,MPLAD-2026-REAL-0079,1640000,2025-08-05,2026-03-05,,IN_PROGRESS,CONT-107,Royal Heritage Constructions,5,2,1640000,2,PENDING,26780,Gaya Parliamentary Constituency,Bodhgaya Road Ward 5,24.7794,85.000261,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Construction of Covered Stormwater Drain and Interlocking CC Road at Nayapalli Ward 14,Odisha,Khordha,Roads & Bridges,4250000,4250000,MPLAD-2026-REAL-0080,5737500,2025-09-06,2026-04-06,,DELAYED,CONT-108,Central Highland Developers,6,2,4876875,5,FLAGGED,27100,Bhubaneswar Parliamentary Constituency,Nayapalli Ward 14,20.295561,85.812512,Critical audit warning: Severe cost overrun of 35% with only 2/6 milestones completed.
Construction of Modern Sub-Health Center and Diagnostic Annex at Badambadi Bus Terminal Area,Odisha,Cuttack,Healthcare & Clinics,4400000,4400000,MPLAD-2026-REAL-0081,4400000,2025-10-07,2026-05-07,2026-02-10,COMPLETED,CONT-109,Magadh Civil Works Ltd,4,4,4400000,4,COMPLIANT,27420,Cuttack Parliamentary Constituency,Badambadi Bus Terminal Area,20.474457,85.881984,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Development of Digital Library and Modern Computer Center at Govt College in Model Town Block C,Punjab,Ludhiana,Education & School Infra,4550000,4550000,MPLAD-2026-REAL-0082,1820000,2025-11-08,2026-06-08,,IN_PROGRESS,CONT-110,Coastal Green Infra Services,5,2,1820000,2,PENDING,27740,Ludhiana Parliamentary Constituency,Model Town Block C,30.902491,75.869207,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Construction of Senior Citizen Daycare Center and Library at Ranjit Avenue Sector D,Punjab,Amritsar,Community Halls & Centers,4700000,4700000,MPLAD-2026-REAL-0083,2350000,2025-12-09,2026-07-09,,IN_PROGRESS,CONT-111,Brahmaputra Engineering Pvt,6,3,2350000,3,PENDING,28060,Amritsar Parliamentary Constituency,Ranjit Avenue Sector D,31.622162,74.874264,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Procurement of Mechanized Waste Collection EV Tippers and Compactors for Sector 14 Civil Lines,Haryana,Gurugram,Sanitation & Waste Management,4850000,4850000,MPLAD-2026-REAL-0084,5577500,2025-01-10,2026-08-10,,DELAYED,CONT-112,Kalinga Public Works Enterprise,4,1,4365000,4,FLAGGED,28380,Gurgaon Parliamentary Constituency,Sector 14 Civil Lines,28.457066,77.014849,High financial anomaly: 90% fund disbursed against only 1 milestone physically completed. Field verification flagged.
Solar Powered High-Mast Illumination Tower at Community Grounds in NIT Faridabad Zone 3,Haryana,Faridabad,Solar Lighting & Green Energy,5000000,5000000,MPLAD-2026-REAL-0085,7150000,2025-02-11,2026-09-11,,DELAYED,CONT-101,Apex Infrastructure & Tech Ltd,5,2,6077500,5,FLAGGED,28700,Faridabad Parliamentary Constituency,NIT Faridabad Zone 3,28.420544,77.3149,Critical audit warning: Severe cost overrun of 43% with only 2/5 milestones completed.
Installation of Solar RO Community Drinking Water Filtration Plant at Dispur Capital Complex Ward 6,Assam,Kamrup Metropolitan,Drinking Water & Tubewells,5150000,5150000,MPLAD-2026-REAL-0086,2575000,2025-03-12,2026-10-12,,IN_PROGRESS,CONT-102,Vanguard Civil Consortium,6,3,2575000,3,PENDING,29020,Gauhati Parliamentary Constituency,Dispur Capital Complex Ward 6,26.147861,91.74772,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Upgradation of Bituminous Road and Paver Block Walkways in Morabadi Ground Area,Jharkhand,Ranchi,Roads & Bridges,5300000,5300000,MPLAD-2026-REAL-0087,5300000,2025-04-13,2026-11-13,2026-02-16,COMPLETED,CONT-103,Bharat Pragati Builders,4,4,5300000,4,COMPLIANT,29340,Ranchi Parliamentary Constituency,Morabadi Ground Area,23.332723,85.313417,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Construction of Maternal & Child Healthcare Wellness Wing at Rajpur Road Ward 7,Uttarakhand,Dehradun,Healthcare & Clinics,5450000,5450000,MPLAD-2026-REAL-0088,2180000,2025-05-14,2026-12-14,,IN_PROGRESS,CONT-104,Sunrise Municipal Infraworks,5,2,2180000,2,PENDING,29660,Tehri Garhwal Parliamentary Constituency,Rajpur Road Ward 7,30.312233,78.020984,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Upgradation of School Infrastructure with Composite Science Laboratory at Sanjauli Hill Sector,Himachal Pradesh,Shimla,Education & School Infra,5600000,5600000,MPLAD-2026-REAL-0089,2800000,2025-06-15,2026-01-15,,IN_PROGRESS,CONT-105,Kalyan Rural Engineering Works,6,3,2800000,3,PENDING,29980,Shimla Parliamentary Constituency,Sanjauli Hill Sector,31.115837,77.168689,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Upgradation and Modernization of Gram Panchayat Community Bhavan at Telibandha Ward 19,Chhattisgarh,Raipur,Community Halls & Centers,5750000,5750000,MPLAD-2026-REAL-0090,8682500,2025-07-16,2026-02-16,,DELAYED,CONT-106,Maruti Infrastructure Corp,4,2,7380125,5,FLAGGED,30300,Raipur Parliamentary Constituency,Telibandha Ward 19,21.256546,81.64044,Critical audit warning: Severe cost overrun of 51% with only 2/4 milestones completed.
Construction of Modern Bio-Toilets Complex and Washing Area at Haveli Block Ward 12,Maharashtra,Pune,Sanitation & Waste Management,5900000,5900000,MPLAD-2026-REAL-0091,6785000,2025-08-17,2026-03-17,,DELAYED,CONT-107,Royal Heritage Constructions,5,1,5310000,4,FLAGGED,30620,Pune Parliamentary Constituency,Haveli Block Ward 12,18.509773,73.862274,High financial anomaly: 90% fund disbursed against only 1 milestone physically completed. Field verification flagged.
Deployment of 25kW Decentralized Solar Rooftop Microgrid at Sitabuldi North Sector 4,Maharashtra,Nagpur,Solar Lighting & Green Energy,6050000,6050000,MPLAD-2026-REAL-0092,3025000,2025-09-18,2026-04-18,,IN_PROGRESS,CONT-108,Central Highland Developers,6,3,3025000,3,PENDING,30940,Nagpur Parliamentary Constituency,Sitabuldi North Sector 4,21.139807,79.077803,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Extension of Piped Drinking Water Distribution Network in Panchavati Rural Zone,Maharashtra,Nashik,Drinking Water & Tubewells,6200000,6200000,MPLAD-2026-REAL-0093,6200000,2025-10-19,2026-05-19,2026-02-22,COMPLETED,CONT-109,Magadh Civil Works Ltd,4,4,6200000,4,COMPLIANT,31260,Nashik Parliamentary Constituency,Panchavati Rural Zone,20.00765,73.783398,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Widening and Strengthening of Village Arterial Link Road in Dombivli East Ward 8,Maharashtra,Thane,Roads & Bridges,6350000,6350000,MPLAD-2026-REAL-0094,2540000,2025-11-20,2026-06-20,,IN_PROGRESS,CONT-110,Coastal Green Infra Services,5,2,2540000,2,PENDING,31580,Kalyan Parliamentary Constituency,Dombivli East Ward 8,19.225101,72.987987,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Procurement of Fully Equipped Advanced Life Support Mobile Ambulance Unit for Jayanagar Block 4,Karnataka,Bengaluru Urban,Healthcare & Clinics,6500000,6500000,MPLAD-2026-REAL-0095,10335000,2025-12-21,2026-07-21,,DELAYED,CONT-111,Brahmaputra Engineering Pvt,6,2,8784750,5,FLAGGED,31900,Bangalore South,Jayanagar Block 4,12.915392,77.600989,Critical audit warning: Severe cost overrun of 59% with only 2/6 milestones completed.
Construction of Additional Smart Classrooms and STEM Innovation Lab at Chamundipuram Sector 2,Karnataka,Mysuru,Education & School Infra,6650000,6650000,MPLAD-2026-REAL-0096,6650000,2025-01-22,2026-08-22,2026-02-25,COMPLETED,CONT-112,Kalinga Public Works Enterprise,4,4,6650000,4,COMPLIANT,32220,Mysore Parliamentary Constituency,Chamundipuram Sector 2,12.288234,76.630086,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Development of Public Recreation Park with Open Gymnasium at Hubballi Vidyanagar Ward 15,Karnataka,Dharwad,Community Halls & Centers,6800000,6800000,MPLAD-2026-REAL-0097,2720000,2025-02-23,2026-09-23,,IN_PROGRESS,CONT-101,Apex Infrastructure & Tech Ltd,5,2,2720000,2,PENDING,32540,Dharwad Parliamentary Constituency,Hubballi Vidyanagar Ward 15,15.373705,75.116069,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Construction of Underground Drainage System with Sewage Treatment Septic at Sabarmati Ward 6,Gujarat,Ahmedabad,Sanitation & Waste Management,6950000,6950000,MPLAD-2026-REAL-0098,7992500,2025-03-24,2026-10-24,,DELAYED,CONT-102,Vanguard Civil Consortium,6,1,6255000,4,FLAGGED,32860,Ahmedabad West,Sabarmati Ward 6,23.083583,72.593682,High financial anomaly: 90% fund disbursed against only 1 milestone physically completed. Field verification flagged.
Solarization of Primary Health Center and Cold Chain Unit at Alkapuri West Zone,Gujarat,Vadodara,Solar Lighting & Green Energy,7100000,7100000,MPLAD-2026-REAL-0099,7100000,2025-04-25,2026-11-25,2026-02-28,COMPLETED,CONT-103,Bharat Pragati Builders,4,4,7100000,4,COMPLIANT,33180,Vadodara Parliamentary Constituency,Alkapuri West Zone,22.298854,73.189823,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Augmentation of Rural Piped Drinking Water Supply Grid at Varachha Central Block,Gujarat,Surat,Drinking Water & Tubewells,7250000,7250000,MPLAD-2026-REAL-0100,9787500,2025-05-01,2026-12-01,,DELAYED,CONT-104,Sunrise Municipal Infraworks,5,2,8319375,5,FLAGGED,33500,Surat Parliamentary Constituency,Varachha Central Block,21.161252,72.823104,Critical audit warning: Severe cost overrun of 35% with only 2/5 milestones completed.
