costDeviationPercentage,delayDays,paymentCount,paymentAmount,milestoneCompletionRate,contractorDelayRate,contractorCostOverrunRate,contractorAnomalyRate,costPerBeneficiary,projectDuration,duplicateSimilarity,label
14.6,5,3,1600000,70,9.8,6.4,12.0,1057,319,0,NORMAL
62.5,116,4,7500000,25,42.2,76.4,56.8,5996,464,5,SUSPICIOUS
39.2,157,4,7200000,0,64.3,40.9,68.8,4364,544,5,SUSPICIOUS
8.9,5,3,2000000,100,16.2,9.0,12.4,823,345,5,NORMAL
16.7,6,2,2700000,80,10.1,13.9,6.5,1169,329,5,NORMAL
10.6,2,2,3700000,65,7.7,12.8,3.4,1439,306,0,NORMAL
1.8,0,1,2900000,85,9.8,12.4,10.3,951,362,5,NORMAL
12.2,0,3,2900000,80,6.1,5.6,14.5,1047,366,0,NORMAL
90.5,132,5,8400000,30,49.6,58.3,66.4,5057,498,15,SUSPICIOUS
34.8,208,5,6700000,0,45.6,39.4,81.2,3422,575,0,SUSPICIOUS
2.3,0,4,1700000,65,7.8,3.6,7.2,1021,333,0,NORMAL
7.7,0,2,1900000,80,13.9,13.4,14.7,1066,313,0,NORMAL
65.4,206,4,8300000,20,77.7,51.7,68.9,5091,587,8,SUSPICIOUS
50.6,177,5,7300000,0,53.3,41.2,75.4,3378,618,0,SUSPICIOUS
77.8,159,6,9400000,30,37.1,67.9,68.2,4619,507,0,SUSPICIOUS
5.0,13,1,1500000,55,5.2,7.0,10.8,859,340,5,NORMAL
8.0,0,3,2100000,85,16.4,13.3,16.4,1237,293,0,NORMAL
4.0,0,2,2200000,85,8.4,8.0,9.4,943,345,0,NORMAL
6.2,16,2,1500000,60,7.3,12.8,7.2,1633,327,0,NORMAL
45.0,61,3,5000000,30,40.6,38.3,52.5,3493,598,81,SUSPICIOUS
28.9,74,3,5000000,30,55.9,48.9,69.2,2868,574,80,SUSPICIOUS
7.4,5,3,2600000,80,8.6,6.6,16.5,1057,354,0,NORMAL
12.1,12,2,1300000,60,13.6,5.9,4.4,893,271,0,NORMAL
63.9,97,5,8100000,10,44.9,44.2,58.0,3474,633,0,SUSPICIOUS
5.4,3,1,2100000,75,10.2,10.3,11.9,1551,340,0,NORMAL
6.9,2,1,3000000,60,13.1,7.4,14.0,1553,331,0,NORMAL
1.2,0,4,1800000,70,10.3,11.2,4.9,1405,340,0,NORMAL
13.3,11,2,1200000,80,6.3,12.4,3.5,1156,370,0,NORMAL
9.9,4,2,3600000,60,16.6,10.8,7.8,856,371,5,NORMAL
18.5,0,3,1400000,100,13.8,14.1,6.6,1527,342,0,NORMAL
2.0,34,2,3000000,90,11.5,3.7,6.5,1050,325,0,NORMAL
13.3,32,4,2400000,55,7.0,12.5,6.1,869,272,0,NORMAL
4.0,7,2,3600000,85,6.4,7.9,7.7,1035,313,0,NORMAL
4.7,6,2,3400000,75,12.7,11.4,13.4,950,368,0,NORMAL
40.8,134,2,6500000,35,44.7,36.5,60.1,3740,572,75,SUSPICIOUS
10.6,0,2,3000000,55,13.0,4.8,7.8,932,339,0,NORMAL
6.5,10,2,3000000,55,11.5,5.1,9.2,1230,334,0,NORMAL
3.5,45,3,3100000,85,8.8,12.2,5.6,785,344,0,NORMAL
69.2,226,4,8100000,30,72.7,48.7,89.8,4191,630,0,SUSPICIOUS
57.2,154,3,5900000,5,63.7,51.2,72.1,4761,616,0,SUSPICIOUS
43.1,193,5,6100000,20,71.7,58.5,70.0,4932,681,8,SUSPICIOUS
8.6,6,2,1700000,95,6.8,14.3,6.5,958,341,0,NORMAL
11.3,0,3,1300000,85,13.1,8.8,9.7,1296,371,0,NORMAL
10.8,11,3,1400000,90,5.7,9.5,7.0,1080,329,5,NORMAL
46.1,93,5,7700000,10,43.6,36.6,84.2,3980,604,5,SUSPICIOUS
56.7,133,6,7300000,25,37.7,61.5,60.4,6381,491,5,SUSPICIOUS
17.3,24,2,1800000,90,7.6,14.0,5.5,1338,329,0,NORMAL
2.7,9,2,1300000,55,9.3,4.3,13.5,1527,364,0,NORMAL
3.3,0,2,1500000,90,9.1,7.3,9.8,1032,327,0,NORMAL
49.7,122,4,6600000,5,47.5,37.3,77.5,4165,675,0,SUSPICIOUS
59.2,207,3,5700000,30,82.7,57.9,84.6,4960,700,0,SUSPICIOUS
9.3,9,2,2500000,90,15.1,7.7,10.1,1501,308,0,NORMAL
41.9,134,3,5900000,20,55.7,43.6,59.4,3784,451,95,SUSPICIOUS
9.0,45,2,1400000,65,16.1,12.5,9.3,1290,313,0,NORMAL
2.3,15,2,3000000,65,12.2,10.6,3.2,1085,302,0,NORMAL
8.5,0,3,2100000,75,8.8,13.4,4.6,919,325,0,NORMAL
17.4,8,2,2500000,55,15.7,13.3,5.8,1076,334,0,NORMAL
2.1,17,2,1400000,100,9.3,8.3,6.6,1503,319,0,NORMAL
6.2,34,3,1700000,65,12.3,5.6,6.0,1131,323,0,NORMAL
15.9,6,2,2200000,80,8.5,6.6,16.1,954,337,0,NORMAL
2.2,0,2,2700000,85,9.0,6.7,14.2,994,342,5,NORMAL
5.3,1,1,2600000,95,12.1,6.6,16.3,1326,348,0,NORMAL
3.8,11,2,3500000,75,9.4,13.8,15.8,1608,394,0,NORMAL
8.3,0,2,1200000,85,8.8,5.8,6.3,1448,362,0,NORMAL
15.3,7,2,2300000,100,5.3,6.8,10.0,1322,325,0,NORMAL
11.2,3,4,1300000,85,9.8,7.8,13.6,1424,333,0,NORMAL
58.5,195,4,7100000,20,76.8,58.9,70.1,3111,565,0,SUSPICIOUS
6.5,5,3,2500000,80,11.0,6.1,16.2,833,347,0,NORMAL
8.8,0,2,1600000,95,13.4,5.4,8.1,1431,271,5,NORMAL
3.4,0,1,1700000,55,11.9,5.4,6.5,1092,342,0,NORMAL
5.9,0,2,1600000,85,10.4,11.5,4.9,918,371,0,NORMAL
1.5,1,2,2000000,90,15.5,14.4,8.8,845,356,5,NORMAL
3.7,9,2,1700000,100,9.9,7.0,12.5,1165,326,0,NORMAL
1.2,0,3,3000000,55,11.8,9.1,5.3,756,311,0,NORMAL
5.7,16,2,2600000,85,5.3,3.9,11.2,1561,392,0,NORMAL
8.0,4,2,2300000,90,16.6,7.8,7.4,1212,369,0,NORMAL
86.5,156,6,9000000,40,36.7,62.6,76.5,4294,579,5,SUSPICIOUS
41.8,146,3,5300000,25,46.7,33.1,62.7,3530,574,95,SUSPICIOUS
9.6,20,2,1400000,75,7.1,7.1,13.6,963,401,0,NORMAL
34.2,66,2,6900000,25,42.3,33.9,67.9,4194,471,77,SUSPICIOUS
2.7,0,3,1900000,60,7.2,11.7,7.2,1169,354,0,NORMAL
41.9,292,3,5900000,30,72.4,54.2,72.0,5125,718,0,SUSPICIOUS
7.4,28,2,2000000,75,6.3,4.3,8.1,1192,344,0,NORMAL
12.6,17,4,2500000,70,6.6,11.6,6.3,1580,297,0,NORMAL
31.2,202,4,8000000,5,45.2,36.6,68.3,5157,630,5,SUSPICIOUS
2.3,22,2,2300000,75,8.3,5.9,9.8,950,347,5,NORMAL
59.3,124,3,6400000,10,50.7,58.7,73.1,5489,510,0,SUSPICIOUS
7.6,1,2,1300000,90,13.5,14.2,11.5,1044,336,0,NORMAL
14.6,4,2,3400000,90,17.8,8.9,15.2,904,307,5,NORMAL
3.4,0,3,3000000,60,7.6,10.3,4.2,1380,340,0,NORMAL
92.7,79,5,9500000,40,54.4,68.0,50.9,4914,618,0,SUSPICIOUS
8.1,0,2,1900000,85,6.6,12.0,6.3,1482,346,5,NORMAL
7.2,14,2,3600000,75,6.4,11.4,15.0,793,326,0,NORMAL
5.1,0,2,1700000,60,14.9,12.3,9.1,1080,346,0,NORMAL
46.0,64,2,5800000,20,41.6,40.6,58.3,3619,545,82,SUSPICIOUS
76.7,127,4,9000000,30,34.7,65.7,70.8,4477,578,15,SUSPICIOUS
1.4,8,2,3200000,65,10.9,6.6,7.2,1648,349,0,NORMAL
10.5,5,1,3700000,70,18.0,11.8,12.9,1160,385,5,NORMAL
35.0,149,3,6800000,12,41.0,44.9,72.5,3661,565,0,SUSPICIOUS
85.3,145,5,9400000,30,53.2,66.9,56.1,4303,521,5,SUSPICIOUS
7.9,4,2,3000000,90,12.5,13.4,14.4,1032,359,0,NORMAL
5.0,23,1,3800000,80,14.8,8.7,5.1,827,331,0,NORMAL
9.8,27,2,1300000,100,8.1,12.5,7.7,1160,284,0,NORMAL
5.1,44,1,3000000,60,14.3,9.9,4.2,1647,318,0,NORMAL
1.2,0,2,3100000,100,9.4,12.4,3.7,1104,306,0,NORMAL
2.1,0,3,2400000,85,6.6,13.1,10.2,1118,340,0,NORMAL
80.9,172,6,9600000,25,40.5,73.3,50.6,6279,607,0,SUSPICIOUS
1.2,0,3,1400000,85,12.6,6.0,5.1,1402,354,0,NORMAL
34.9,134,3,8400000,10,47.3,54.1,57.1,5549,499,5,SUSPICIOUS
11.2,12,1,3400000,100,6.4,3.7,15.7,1004,311,0,NORMAL
10.0,0,3,2900000,60,16.5,9.3,9.2,1113,380,0,NORMAL
15.0,10,2,1900000,85,5.4,10.5,8.1,1639,323,8,NORMAL
2.6,5,2,2000000,80,10.3,5.9,13.7,1059,392,0,NORMAL
2.4,11,3,3400000,100,5.0,14.3,15.7,927,360,0,NORMAL
10.5,4,2,2500000,100,9.5,14.4,4.4,1028,379,0,NORMAL
11.2,18,2,1500000,80,6.0,13.8,6.6,1390,348,0,NORMAL
5.4,45,2,1900000,80,11.0,8.9,3.3,1175,288,0,NORMAL
13.1,0,2,2900000,65,7.4,4.7,7.8,1277,325,0,NORMAL
1.8,0,2,2100000,90,13.0,11.3,5.3,1033,331,0,NORMAL
44.5,306,4,6800000,30,58.3,47.0,86.8,5116,712,8,SUSPICIOUS
16.8,11,2,2000000,100,8.9,5.9,3.5,1416,292,0,NORMAL
3.5,22,2,1800000,55,12.3,4.8,8.3,1197,384,0,NORMAL
1.2,5,3,3100000,80,14.7,12.9,7.0,1326,345,0,NORMAL
52.0,140,5,8000000,12,66.3,46.6,63.4,4797,612,0,SUSPICIOUS
31.0,69,3,6600000,30,40.3,34.4,70.6,4022,591,85,SUSPICIOUS
11.2,0,2,3900000,95,14.8,9.0,4.8,1635,360,0,NORMAL
79.3,84,4,8400000,40,38.4,59.4,53.7,4862,577,5,SUSPICIOUS
72.1,155,5,7300000,30,33.0,57.0,54.2,4569,574,15,SUSPICIOUS
6.3,4,3,1200000,60,11.2,10.1,7.1,1050,297,0,NORMAL
4.4,0,2,1700000,70,5.9,14.2,15.4,1261,346,0,NORMAL
83.8,179,4,7900000,40,52.2,57.1,61.2,5146,481,15,SUSPICIOUS
18.5,5,1,3100000,60,17.6,13.0,11.4,1557,297,0,NORMAL
56.1,140,4,5300000,10,47.5,52.1,60.6,4013,509,5,SUSPICIOUS
13.9,10,2,1200000,75,10.5,5.4,14.4,1574,388,0,NORMAL
88.7,82,4,7200000,30,44.8,74.8,70.1,4574,499,15,SUSPICIOUS
13.9,0,2,2800000,95,12.0,12.2,9.9,1521,292,0,NORMAL
4.3,0,2,1700000,95,6.1,4.5,5.4,1291,316,0,NORMAL
31.2,97,4,7400000,12,67.3,51.2,57.5,3220,631,0,SUSPICIOUS
53.0,292,6,8500000,15,81.8,65.6,66.5,3613,600,0,SUSPICIOUS
3.6,3,3,1200000,75,12.7,11.1,7.8,1317,337,0,NORMAL
60.0,309,5,6200000,15,56.0,63.0,76.4,3826,732,8,SUSPICIOUS
12.3,12,2,1900000,90,15.5,9.1,16.7,1590,338,0,NORMAL
47.8,161,5,8100000,10,48.8,40.3,63.0,4726,657,10,SUSPICIOUS
6.4,0,2,1900000,95,6.8,12.7,16.8,1191,348,0,NORMAL
44.0,157,4,8300000,0,66.1,40.9,57.4,4312,511,0,SUSPICIOUS
3.1,45,4,1400000,80,9.7,6.4,9.1,1210,361,5,NORMAL
2.0,12,2,3800000,95,12.6,11.2,15.0,1221,280,0,NORMAL
4.5,7,2,1600000,80,11.8,13.9,11.3,996,332,0,NORMAL
6.5,1,2,2400000,55,14.4,13.9,15.8,1212,299,0,NORMAL
5.5,25,3,3300000,70,6.5,10.6,14.7,1426,289,0,NORMAL
59.5,171,4,8300000,40,48.6,74.8,67.4,4449,494,0,SUSPICIOUS
31.5,137,5,8100000,0,56.0,56.4,77.1,5184,576,10,SUSPICIOUS
1.7,0,1,3300000,55,17.1,9.5,12.3,917,339,0,NORMAL
31.0,95,4,6100000,20,39.0,32.5,60.3,2697,438,80,SUSPICIOUS
63.4,72,4,8900000,30,53.9,71.8,72.1,4581,572,0,SUSPICIOUS
39.4,169,5,5900000,5,68.3,51.8,76.0,5234,601,10,SUSPICIOUS
18.5,16,3,3700000,95,15.9,3.7,3.7,1427,364,0,NORMAL
18.5,6,2,1800000,75,6.6,14.3,13.9,861,364,0,NORMAL
5.7,0,3,1400000,90,5.2,6.6,5.9,1397,331,0,NORMAL
10.7,23,2,1600000,65,13.4,7.7,13.6,753,346,0,NORMAL
8.0,9,2,3400000,85,7.4,7.7,16.1,1640,324,0,NORMAL
76.5,71,6,8200000,25,41.4,65.9,77.0,5372,614,0,SUSPICIOUS
16.5,2,2,2000000,75,5.1,10.0,11.4,1425,290,8,NORMAL
1.2,1,2,1200000,95,7.7,12.9,14.5,1040,336,0,NORMAL
6.6,12,3,1600000,65,16.5,5.2,5.1,1537,322,0,NORMAL
5.3,6,2,3300000,70,17.5,14.1,7.1,1201,311,0,NORMAL
8.7,24,2,3000000,75,15.5,6.3,6.5,984,357,0,NORMAL
4.8,5,1,2200000,90,9.7,5.9,16.8,1582,340,0,NORMAL
4.0,0,3,1500000,60,7.4,12.9,9.9,1067,271,0,NORMAL
3.6,2,3,2700000,70,12.9,6.9,14.7,897,336,0,NORMAL
3.5,6,2,3500000,80,5.4,6.6,8.8,1210,313,5,NORMAL
5.2,6,2,3000000,60,15.1,4.1,3.2,769,341,0,NORMAL
37.8,109,2,3700000,30,43.3,35.4,50.9,3317,539,80,SUSPICIOUS
5.2,1,2,2400000,60,10.8,9.4,6.4,1380,334,0,NORMAL
3.2,0,2,2300000,60,9.3,12.1,9.1,860,292,0,NORMAL
3.3,3,1,1800000,95,12.3,5.0,5.1,1126,362,0,NORMAL
2.6,9,2,3100000,55,12.8,14.3,10.5,805,410,0,NORMAL
6.8,0,3,2400000,60,15.4,7.3,6.6,1024,388,0,NORMAL
2.0,0,3,1600000,70,14.4,13.2,11.3,1554,306,0,NORMAL
6.0,13,2,2800000,80,17.8,5.7,4.9,1221,342,0,NORMAL
12.9,0,2,2800000,85,9.4,11.2,6.1,772,279,0,NORMAL
6.0,7,2,1300000,90,15.7,4.2,11.6,992,326,0,NORMAL
2.0,15,2,1300000,65,17.4,5.2,9.1,770,274,5,NORMAL
10.8,2,3,1400000,60,7.9,4.6,11.2,1359,321,5,NORMAL
10.5,0,3,2300000,60,10.3,4.9,3.4,1271,334,0,NORMAL
39.0,123,5,6600000,12,60.7,45.2,61.2,4600,534,5,SUSPICIOUS
4.1,7,2,3600000,95,7.5,10.9,4.3,1520,344,0,NORMAL
2.6,0,2,3400000,55,8.0,12.4,11.2,1273,408,0,NORMAL
14.3,12,2,2600000,95,5.9,10.5,13.3,1199,315,0,NORMAL
16.7,5,3,2400000,95,5.0,10.1,11.5,1601,265,0,NORMAL
4.9,13,2,2200000,65,5.4,11.6,4.5,1232,312,0,NORMAL
70.4,203,5,6000000,20,70.3,59.4,63.4,4772,720,14,SUSPICIOUS
8.0,7,2,3100000,100,14.5,9.1,13.0,1288,364,0,NORMAL
14.9,0,2,2800000,100,17.2,4.4,8.4,820,320,0,NORMAL
64.1,158,4,8400000,10,62.6,51.4,72.4,5473,619,0,SUSPICIOUS
2.4,0,3,1800000,70,6.9,8.2,5.1,1310,319,0,NORMAL
77.2,72,4,7100000,25,49.0,61.0,74.8,4841,491,15,SUSPICIOUS
6.4,39,1,2800000,100,6.8,9.0,6.0,884,339,0,NORMAL
66.0,138,4,7100000,40,32.5,54.4,78.8,4629,466,5,SUSPICIOUS
13.1,0,2,2700000,95,7.3,3.7,9.9,1565,363,5,NORMAL
4.1,45,2,3300000,85,14.1,9.0,5.3,1290,348,0,NORMAL
41.4,197,3,8000000,30,75.4,41.1,78.2,3903,676,0,SUSPICIOUS
34.1,119,4,8100000,0,54.1,43.7,80.9,3816,628,10,SUSPICIOUS
5.1,37,2,2200000,100,14.2,6.1,8.4,1538,330,0,NORMAL
3.8,8,2,2700000,75,14.3,13.8,15.8,1510,338,0,NORMAL
58.4,186,5,5400000,0,63.8,51.8,75.1,5532,615,5,SUSPICIOUS
45.6,285,3,6900000,15,80.4,51.6,61.1,5029,568,14,SUSPICIOUS
6.7,32,2,2900000,75,10.2,7.4,13.8,1054,369,0,NORMAL
31.6,187,4,5100000,5,40.7,51.9,83.0,3939,529,10,SUSPICIOUS
57.3,94,4,6900000,25,47.5,75.9,74.3,4656,525,15,SUSPICIOUS
3.8,0,3,1500000,70,15.7,11.2,4.2,1468,356,0,NORMAL
2.3,21,1,3100000,55,6.6,10.5,15.6,1555,302,0,NORMAL
1.3,34,2,2100000,70,16.4,6.5,3.1,863,322,0,NORMAL
85.0,124,5,7500000,25,35.7,50.5,67.2,4452,622,5,SUSPICIOUS
49.7,197,4,6700000,15,65.8,56.8,78.3,3170,708,0,SUSPICIOUS
7.6,0,3,1300000,60,15.7,11.4,6.8,1310,381,0,NORMAL
1.5,6,2,1300000,100,16.4,14.2,3.4,1064,327,0,NORMAL
5.4,0,2,3400000,55,10.2,11.2,10.8,977,307,0,NORMAL
3.0,4,2,1600000,100,13.6,8.4,9.3,1607,350,0,NORMAL
12.6,45,2,3000000,65,5.6,10.1,7.8,1441,279,0,NORMAL
2.1,0,1,1200000,90,15.5,12.6,8.4,1502,313,0,NORMAL
9.0,0,2,1400000,70,13.9,13.8,3.7,1066,367,8,NORMAL
13.9,8,3,2500000,85,7.2,8.5,9.4,1281,341,0,NORMAL
5.7,15,1,3800000,90,15.0,5.8,13.0,1037,323,0,NORMAL
7.5,0,3,2100000,70,14.1,4.7,14.9,1632,311,0,NORMAL
87.0,129,6,7900000,40,53.1,71.0,67.7,4233,541,15,SUSPICIOUS
92.1,127,5,6700000,40,37.4,59.1,78.8,5614,504,15,SUSPICIOUS
55.4,90,3,7400000,12,53.1,59.5,65.7,5044,574,0,SUSPICIOUS
64.3,226,6,6700000,20,80.5,57.2,68.8,3250,684,8,SUSPICIOUS
29.8,159,4,4000000,30,42.5,44.6,58.0,3291,427,94,SUSPICIOUS
1.2,0,2,2500000,55,14.6,13.0,10.4,1369,302,0,NORMAL
7.2,7,2,1700000,55,9.2,10.0,4.0,1506,345,0,NORMAL
3.9,0,2,3300000,80,7.0,6.2,14.8,1062,369,8,NORMAL
4.0,5,2,1400000,70,14.3,14.2,5.8,1510,342,0,NORMAL
31.2,157,4,6600000,5,69.8,37.6,56.6,4749,559,0,SUSPICIOUS
12.4,0,2,1400000,100,9.1,12.8,3.3,1167,339,0,NORMAL
2.4,45,2,1200000,70,15.9,12.4,7.5,1049,323,0,NORMAL
7.7,23,1,2600000,90,11.0,7.9,9.0,1389,348,0,NORMAL
7.4,6,2,1300000,75,15.8,7.1,13.2,1237,301,0,NORMAL
26.7,68,3,3700000,20,48.5,32.3,57.9,3449,577,73,SUSPICIOUS
4.5,23,2,1300000,100,14.6,6.2,14.7,1232,355,0,NORMAL
32.3,156,2,4800000,20,54.1,31.5,62.8,2628,521,93,SUSPICIOUS
33.4,87,4,3500000,25,49.1,43.3,68.0,3661,463,90,SUSPICIOUS
4.7,3,4,1300000,90,16.7,13.8,12.4,1116,356,0,NORMAL
11.6,24,2,2200000,80,16.1,10.0,15.4,1135,345,8,NORMAL
5.6,37,3,2400000,90,5.1,4.2,16.9,1157,320,0,NORMAL
3.8,0,2,3900000,60,13.5,13.1,6.4,1333,388,0,NORMAL
8.0,18,2,2400000,65,15.0,4.3,8.0,790,328,5,NORMAL
16.6,5,1,3800000,85,16.8,6.5,12.1,1382,364,0,NORMAL
65.6,80,5,8400000,40,37.7,63.3,63.5,4259,536,5,SUSPICIOUS
63.2,120,4,8500000,40,48.1,73.4,62.0,4389,524,5,SUSPICIOUS
13.6,30,3,1300000,100,6.3,5.5,4.8,1269,303,0,NORMAL
29.5,110,2,6300000,20,50.3,44.8,61.4,3123,471,72,SUSPICIOUS
5.9,21,3,2000000,70,9.2,5.9,13.0,1260,382,0,NORMAL
8.9,3,2,1900000,65,5.3,14.2,14.7,1555,335,0,NORMAL
5.9,22,4,1900000,100,17.3,5.2,11.2,959,333,5,NORMAL
8.9,2,2,1500000,95,16.7,6.4,14.4,1471,356,0,NORMAL
4.4,0,3,2100000,75,13.6,6.9,7.5,1438,361,12,NORMAL
15.2,9,3,3100000,70,11.0,12.8,13.8,1601,351,0,NORMAL
3.8,0,2,3700000,100,10.9,10.9,11.2,1192,359,5,NORMAL
3.0,8,2,3400000,100,8.2,4.7,4.2,1166,374,0,NORMAL
5.1,0,2,1800000,95,11.5,14.4,4.9,1346,353,0,NORMAL
80.7,78,6,7300000,30,52.9,66.1,72.1,5095,566,0,SUSPICIOUS
4.8,9,3,3100000,90,12.8,10.9,14.3,908,304,0,NORMAL
11.0,22,2,1600000,70,11.5,12.6,8.6,1272,327,0,NORMAL
6.6,15,3,2700000,85,16.4,6.6,4.5,924,366,0,NORMAL
56.8,92,4,9100000,25,40.8,68.7,62.9,5282,476,0,SUSPICIOUS
3.5,29,3,2400000,80,12.0,13.5,14.9,1370,356,0,NORMAL
11.4,10,2,3200000,70,12.8,6.0,10.6,763,324,0,NORMAL
7.5,0,3,2700000,65,10.4,6.7,7.7,1199,355,0,NORMAL
2.8,1,2,1200000,95,10.0,5.8,4.7,1131,286,0,NORMAL
6.8,0,3,2300000,80,8.1,10.9,13.7,872,410,0,NORMAL
11.6,0,2,2300000,70,18.0,9.6,7.5,1600,344,0,NORMAL
41.3,91,3,6700000,25,43.5,35.4,46.3,3625,585,94,SUSPICIOUS
3.7,2,2,1400000,55,8.2,12.4,13.7,1094,301,0,NORMAL
12.6,10,3,2400000,55,6.2,3.5,3.6,1041,354,5,NORMAL
9.9,4,1,2000000,70,17.8,13.7,15.6,761,335,0,NORMAL
13.9,16,2,2000000,75,6.6,6.0,10.0,1165,323,0,NORMAL
13.9,8,2,2000000,70,16.3,12.6,6.0,1316,336,0,NORMAL
9.9,0,3,3600000,55,16.1,11.3,7.1,1543,314,0,NORMAL
8.3,3,3,2300000,90,12.5,4.1,7.4,904,358,0,NORMAL
10.4,6,4,1300000,100,12.2,6.8,9.0,1445,315,0,NORMAL
65.1,137,5,9200000,40,31.5,50.5,79.2,5716,486,15,SUSPICIOUS
1.7,1,2,2300000,65,7.2,8.4,5.9,984,345,0,NORMAL
6.2,0,2,1600000,65,12.9,13.9,7.8,766,395,0,NORMAL
6.9,11,3,1900000,65,7.1,12.5,12.3,1159,331,0,NORMAL
92.6,94,5,7600000,25,50.7,60.1,68.0,6430,473,5,SUSPICIOUS
8.3,1,3,2500000,70,9.7,9.4,12.5,812,345,0,NORMAL
3.4,41,3,3300000,85,14.1,7.6,3.2,1437,342,0,NORMAL
2.2,0,3,1900000,90,7.5,9.1,11.3,1510,324,0,NORMAL
2.9,0,4,1900000,85,11.0,13.6,12.7,916,327,0,NORMAL
16.5,0,1,2000000,100,15.4,6.3,11.2,1556,409,0,NORMAL
5.7,12,2,1400000,60,14.5,6.3,5.5,1359,358,5,NORMAL
11.8,44,4,2400000,85,5.9,12.5,8.2,1208,323,0,NORMAL
15.9,0,3,2700000,65,15.2,8.0,14.5,1324,333,5,NORMAL
14.8,11,3,2300000,80,7.8,12.4,5.8,855,362,0,NORMAL
6.9,21,3,1300000,55,8.6,4.0,16.0,1231,372,0,NORMAL
4.2,2,2,1400000,70,9.1,9.2,10.7,1571,331,0,NORMAL
68.2,177,5,8000000,25,49.3,76.0,57.8,5042,607,15,SUSPICIOUS
62.7,179,6,8300000,30,51.6,66.2,53.3,5278,522,5,SUSPICIOUS
4.4,9,2,2300000,55,11.5,4.7,8.5,907,344,0,NORMAL
8.2,0,1,2500000,55,9.0,12.9,12.8,1572,305,0,NORMAL
93.5,86,5,7400000,25,37.8,76.7,73.5,5481,514,5,SUSPICIOUS
29.8,102,4,5100000,30,50.3,46.1,55.3,4100,597,93,SUSPICIOUS
2.1,9,1,2600000,90,10.7,7.3,13.5,1220,326,5,NORMAL
9.6,16,3,1700000,55,8.0,13.4,8.4,1570,347,0,NORMAL
17.3,0,2,1500000,90,6.7,4.2,16.9,762,322,0,NORMAL
54.7,112,4,4500000,25,54.6,29.6,71.2,3294,423,72,SUSPICIOUS
4.3,30,3,2100000,55,8.7,6.2,8.0,1595,313,5,NORMAL
10.9,2,3,1200000,75,11.2,9.6,11.8,929,280,5,NORMAL
3.9,10,1,2900000,80,10.5,12.2,3.4,1447,282,0,NORMAL
4.6,7,1,1500000,90,16.6,8.3,10.5,1127,350,0,NORMAL
2.4,0,1,2700000,95,10.6,8.5,10.2,1469,338,0,NORMAL
12.3,0,3,2900000,85,13.6,13.3,11.9,828,336,5,NORMAL
1.7,28,3,2800000,60,16.0,6.2,11.1,1517,358,0,NORMAL
8.4,0,1,2800000,70,6.2,11.4,6.8,1472,334,0,NORMAL
6.2,16,2,2100000,100,6.7,10.9,15.0,878,354,0,NORMAL
9.5,9,2,1900000,80,8.6,5.2,5.7,1592,325,0,NORMAL
4.0,5,2,2000000,60,8.6,14.5,6.8,1506,368,0,NORMAL
2.3,3,2,2400000,95,15.0,10.8,8.7,852,361,5,NORMAL
6.9,30,2,3600000,60,14.8,13.9,12.5,1339,341,0,NORMAL
9.2,4,2,2100000,95,17.2,3.5,13.2,868,357,0,NORMAL
40.0,145,5,5400000,5,41.9,48.3,82.0,4779,494,0,SUSPICIOUS
5.7,43,2,3800000,85,6.2,9.5,13.4,1053,339,0,NORMAL
1.2,0,2,1700000,55,8.3,6.2,12.7,1136,350,0,NORMAL
8.5,0,2,2200000,55,16.3,5.0,11.3,1131,359,0,NORMAL
14.8,23,1,1700000,100,15.5,13.0,15.8,1255,323,5,NORMAL
2.5,6,2,2600000,60,9.5,13.0,5.2,1220,365,0,NORMAL
14.1,0,2,2100000,65,10.9,11.2,8.4,1543,287,0,NORMAL
11.6,0,1,2800000,75,8.9,7.0,12.4,957,362,0,NORMAL
8.8,31,4,3200000,70,10.1,11.8,9.4,1272,334,0,NORMAL
70.5,95,5,8200000,25,36.9,63.3,73.3,4375,519,0,SUSPICIOUS
7.3,5,2,2500000,80,5.8,9.6,11.3,1206,288,0,NORMAL
47.9,65,4,4200000,30,35.3,42.0,56.8,3202,596,72,SUSPICIOUS
6.0,0,2,1600000,90,5.4,4.3,6.8,752,407,5,NORMAL
4.2,1,3,3300000,75,5.8,9.3,10.0,1406,334,0,NORMAL
4.2,9,1,2400000,55,13.6,11.1,14.9,1286,348,0,NORMAL
10.3,1,2,2800000,100,9.1,4.8,13.2,1632,338,5,NORMAL
8.0,0,3,2000000,80,5.8,14.2,10.6,1191,329,0,NORMAL
90.8,96,4,7800000,25,53.3,57.4,54.5,6169,603,15,SUSPICIOUS
5.1,45,2,1700000,85,7.6,8.4,3.8,974,379,0,NORMAL
31.0,140,5,8300000,12,65.5,45.9,84.0,3299,518,5,SUSPICIOUS
2.8,20,1,1200000,65,12.7,10.5,3.7,1649,356,0,NORMAL
3.8,6,2,3700000,100,9.6,12.7,14.9,1298,356,0,NORMAL
41.4,283,6,6800000,15,79.5,57.3,88.3,5098,679,14,SUSPICIOUS
6.5,20,2,2200000,85,16.8,5.2,11.8,1307,344,0,NORMAL
17.0,0,2,2000000,100,15.9,12.7,3.2,1382,351,8,NORMAL
5.8,0,2,1800000,80,9.5,8.0,4.8,895,387,0,NORMAL
